,index,Event ID,Agency,Standardized Type,Agency-specific Type,Start time,Closed time,Location,Op. Center,Latitude,Longitude,Road,Duration (Incident clearance time),Operator Notes,Responders,Max Lanes Closed,geometry,duration_min
3443,207,CALTRANS_190901IN00107,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 07:52:00,2019-09-01 11:24:00,I10 E TO I15 S CON,Unknown,34.066583,-117.546299,I-10,3 hours 32 minutes,14.0,,,POINT (226468.2091713443 -435850.4283937034),212
7823,58,CALTRANS_190901IN00183,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-01 08:42:00,2019-09-01 09:12:00,I15 S NO SR60,Unknown,34.031825,-117.550444,I-15,30 minutes,7.0,,,POINT (226185.3318951747 -439714.6836535125),30
3444,209,CALTRANS_190901IN00179,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 08:47:00,2019-09-01 10:19:00,I10 E EO 4TH ST,Unknown,34.073961,-117.61717900000001,I-10,1 hour 32 minutes,5.0,,,POINT (219907.0577385701 -435199.1037452249),92
3445,212,CALTRANS_190901IN00226,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 09:16:00,2019-09-01 09:39:00,I210 E AT I215,Unknown,34.143784000000004,-117.32028600000001,I-210,23 minutes,3.0,,,POINT (247081.0816710477 -426724.8112197593),23
3447,216,CALTRANS_190901IN00282,CADOT,Injuries Involved,20001-Hit and Run w/Injuries,2019-09-01 10:29:00,2019-09-01 14:27:00,I10 E EO CITRUS AVE FONT,Unknown,34.066787,-117.445167,I-10,3 hours 58 minutes,11.0,,,POINT (235799.5223773977 -435581.2565691005),238
7824,60,CALTRANS_190901IN00283,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 10:29:00,2019-09-01 12:30:00,,Unknown,33.982364000000004,-117.36710500000001,CA 91,2 hours 1 minute,5.0,,,POINT (243262.4960636284 -444745.1856644065),121
7825,61,CALTRANS_190901IN00306,CADOT,Animal Struck,1125A-Animal Hazard,2019-09-01 10:59:00,2019-09-01 12:33:00,SR60 W VALLEY WY,Unknown,34.011989,-117.43426200000002,SR 60,1 hour 34 minutes,1.0,,,POINT (236970.2399160679 -441630.4398883269),94
3449,218,CALTRANS_190901IN00349,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 13:16:00,2019-09-01 13:58:00,I210 E WO HIGHLAND AVE ARDEN,Unknown,34.138467,-117.24271499999999,I-210,42 minutes,4.0,,,POINT (254248.6235429795 -427109.3433975293),42
7826,64,CALTRANS_190901IN00358,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 13:33:00,2019-09-01 14:19:00,1023 GR ONR TO WB 91,Unknown,33.880790000000005,-117.613075,1023 GR ONR,46 minutes,24.0,,,POINT (220825.1107625242 -456609.2267052163),46
3451,222,CALTRANS_190901IN00455,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 15:24:00,2019-09-01 16:59:00,NB NO,Unknown,34.135936,-117.302549,,1 hour 35 minutes,21.0,,,POINT (248740.8370626594 -427548.7330273194),95
3454,227,CALTRANS_190901IN00493,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 16:08:00,2019-09-01 18:16:00,I15 N NO KENWOOD,Unknown,34.24973,-117.442178,I-15,2 hours 8 minutes,4.0,,,POINT (235527.8320798847 -415285.2442301922),128
3456,229,CALTRANS_190901IN00522,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 16:25:00,2019-09-01 17:23:00,,Unknown,34.030505,-117.655818,CA 60,58 minutes,1.0,,,POINT (216461.0310711276 -440107.0469581359),58
7831,69,CALTRANS_190901IN00561,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 17:00:00,2019-09-01 17:56:00,,Unknown,33.97553,-117.33525900000001,CA 60,56 minutes,15.0,,,POINT (246225.393296291 -445420.7066821544),56
3458,232,CALTRANS_190901IN00582,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 17:12:00,2019-09-01 18:03:00,I10 E WO UNIVERSITY ST,Unknown,34.059459999999994,-117.17305900000001,I-10,51 minutes,1.0,,,POINT (260931.0057666272 -435680.8863289231),51
3459,233,CALTRANS_190901IN00610,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 17:36:00,2019-09-01 18:20:00,I10 W EO SIERRA AVE SB,Unknown,34.067414,-117.42796899999999,I-10,44 minutes,2.0,,,POINT (237384.5451584083 -435468.8113938915),44
3503,302,CALTRANS_190901INFSP00022,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 17:37:00,2019-09-01 18:29:00,I10 W EO SIERRA AVE SB,Unknown,34.067414,-117.42796899999999,I-10,52 minutes,1.0,,,POINT (237384.5451584083 -435468.8113938915),52
7836,74,CALTRANS_190901IN00634,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 17:55:00,2019-09-01 19:08:00,I215 S NO VAN BUREN BLVD VB,Unknown,33.897822,-117.275129,I-215,1 hour 13 minutes,9.0,,,POINT (252027.6484240106 -453878.1697295392),73
7837,75,CALTRANS_190901IN00662,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-01 18:13:00,2019-09-01 18:57:00,SR91 W WO CENTRAL AVE,Unknown,33.950722,-117.385543,SR 91,44 minutes,6.0,,,POINT (241656.1484636307 -448300.6698251963),44
3460,236,CALTRANS_190901IN00692,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 18:34:00,2019-09-01 19:16:00,SR60 E WO MONTE VISTA AVE,Unknown,34.030046999999996,-117.702501,SR 60,42 minutes,5.0,,,POINT (212152.420915767 -440263.3588976725),42
7819,33,CALTRANS_190901IC00170,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 18:35:00,2019-09-01 19:18:00,"SR60 Jack Rabbit Trl, WO MM 27",Unknown,33.941456,-117.04796499999999,SR 60,43 minutes,2.0,,,POINT (272881.2148337433 -448411.9343247982),43
7817,20,CALTRANS_190901BCFSP00008,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 18:37:00,2019-09-01 19:02:00,"SR60 Jack Rabbit Trl, WO MM 27",Unknown,33.941456,-117.04796499999999,SR 60,25 minutes,,,,POINT (272881.2148337433 -448411.9343247982),25
7840,79,CALTRANS_190901IN00785,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 19:35:00,2019-09-01 21:00:00,,Unknown,33.881802,-117.62094099999999,CA 91,1 hour 25 minutes,5.0,,,POINT (220094.7287729254 -456515.3146314872),85
3465,244,CALTRANS_190901IN00788,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-01 19:37:00,2019-09-01 19:58:00,I10 E CENTRAL AVE,Unknown,34.08538,-117.68954199999999,I-10,21 minutes,3.0,,,POINT (213199.2584323557 -434098.0432046708),21
7839,78,CALTRANS_190901IN00784,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 19:37:00,2019-09-01 20:41:00,,Unknown,33.959026,-117.309474,CA 60,1 hour 4 minutes,8.0,,,POINT (248659.265556901 -447183.2763522761),64
7864,114,CALTRANS_190901INFSP00052,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 19:38:00,2019-09-01 20:59:00,,Unknown,33.881802,-117.62094099999999,CA 91,1 hour 21 minutes,3.0,,,POINT (220094.7287729254 -456515.3146314872),81
3506,305,CALTRANS_190901INFSP00057,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 19:57:00,2019-09-01 20:19:00,I10 E EO ARCHIBALD AVE,Unknown,34.067451,-117.58371399999999,I-10,22 minutes,2.0,,,POINT (223013.2324304731 -435842.8635345441),22
7841,80,CALTRANS_190901IN00824,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 19:59:00,2019-09-01 20:22:00,,Unknown,33.959395,-117.548992,I-15,23 minutes,2.0,,,POINT (226527.0508906335 -447742.6028306279),23
7845,84,CALTRANS_190901IN00872,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 20:35:00,2019-09-01 21:12:00,SR60 E HEACOCK ST,Unknown,33.940994,-117.243761,SR 60,37 minutes,2.0,,,POINT (254788.927474663 -449008.0191318896),37
7844,83,CALTRANS_190901IN00869,CADOT,Animal Struck,1125A-Animal Hazard,2019-09-01 20:36:00,2019-09-01 21:09:00,SR91 W EO ADAMS ST,Unknown,33.929778000000006,-117.41566999999999,SR 91,33 minutes,3.0,,,POINT (238935.4953861388 -450699.1582694361),33
7866,117,CALTRANS_190901INFSP00073,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 20:39:00,2019-09-01 21:11:00,SR60 E HEACOCK ST,Unknown,33.940994,-117.243761,SR 60,32 minutes,,,,POINT (254788.927474663 -449008.0191318896),32
3469,249,CALTRANS_190901IN00886,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 20:52:00,2019-09-01 21:23:00,I10 W EO MOUNTAIN AVE,Unknown,34.087394,-117.662948,I-10,31 minutes,1.0,,,POINT (215647.2388844095 -433814.5452544931),31
3470,252,CALTRANS_190901IN00910,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 21:07:00,2019-09-01 21:52:00,I215 N NO BARTON RD,Unknown,34.038092999999996,-117.320008,I-215,45 minutes,3.0,,,POINT (247438.0894808885 -438444.0683738077),45
7846,86,CALTRANS_190901IN00934,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 21:22:00,2019-09-01 21:55:00,I15 S SO MAGNOLIA AVE,Unknown,33.860809,-117.53745500000001,I-15,33 minutes,6.0,,,POINT (227877.0582244181 -458645.5758699225),33
3472,255,CALTRANS_190901IN00950,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 21:34:00,2019-09-01 22:09:00,,Unknown,34.103441,-117.302079,I-215,35 minutes,10.0,,,POINT (248886.7345235683 -431150.9347153581),35
3474,258,CALTRANS_190901IN00963,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-01 21:43:00,2019-09-01 22:50:00,SR60 E WO MILLIKEN AVE ONT,Unknown,34.026047,-117.565917,SR 60,1 hour 7 minutes,16.0,,,POINT (224773.3653439299 -440392.1999486051),67
3480,266,CALTRANS_190901IN01037,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 22:42:00,2019-09-01 23:19:00,I10 W WO CALIFORNIA ST,Unknown,34.066714000000005,-117.235028,I-10,37 minutes,6.0,,,POINT (255189.3472126808 -435045.2233076449),37
3511,310,CALTRANS_190901INFSP00116,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 22:43:00,2019-09-01 23:08:00,I10 W WO CALIFORNIA ST,Unknown,34.066714000000005,-117.235028,I-10,25 minutes,5.0,,,POINT (255189.3472126808 -435045.2233076449),25
3481,268,CALTRANS_190901IN01055,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 22:53:00,2019-09-01 23:14:00,I215 S SO I210,Unknown,34.14103,-117.31731699999999,I-215,21 minutes,1.0,,,POINT (247363.4071294141 -427022.4747661124),21
3482,269,CALTRANS_190901IN01083,CADOT,Fire,FIRE-Report of Fire,2019-09-01 23:12:00,2019-09-02 00:20:00,I15 N GLEN HELEN PKWY,Unknown,34.202568,-117.41527099999999,I-15,1 hour 8 minutes,2.0,,,POINT (238147.4923116943 -420448.7023012205),68
3483,270,CALTRANS_190901IN01103,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 23:21:00,2019-09-02 00:13:00,,Unknown,34.101085999999995,-117.19957600000001,CA 210,52 minutes,2.0,,,POINT (258347.7858790907 -431137.8760452936),52
3485,273,CALTRANS_190901IN01119,CADOT,Animal Struck,1125A-Animal Hazard,2019-09-01 23:34:00,2019-09-02 00:04:00,I215 N NO BASELINE ST,Unknown,34.123218,-117.302489,I-215,30 minutes,10.0,,,POINT (248786.506453602 -428958.9149988983),30
7820,41,CALTRANS_190901IC00333,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 23:40:00,2019-09-02 00:02:00,NEAR REST AREA,Unknown,33.997734,-117.06175800000001,REST AREA,22 minutes,1.0,,,POINT (271413.1964700227 -442212.2599825016),22
7873,124,CALTRANS_190901INFSP00138,CADOT,Obstructions,1125-Traffic Hazard,2019-09-01 23:48:00,2019-09-02 00:11:00,I15 N SO MAGNOLIA AVE,Unknown,33.861228000000004,-117.53736,I-15,23 minutes,4.0,,,POINT (227884.640386713 -458598.89400412),23
7852,93,CALTRANS_190901IN01156,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-01 23:56:00,2019-09-02 00:58:00,,Unknown,33.87491,-117.5262,Magnolia Ave,1 hour 2 minutes,4.0,,,POINT (228877.5276081184 -457055.1106411745),62
3488,276,CALTRANS_190901IN01166,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-01 23:56:00,2019-09-02 01:16:00,EL GALLO GIRO / OCCD CEDAR/10,Unknown,34.067417,-117.43574699999999,Sierra Ave,1 hour 20 minutes,2.0,,,POINT (236666.8441611523 -435487.924082804),80
3489,277,CALTRANS_190901IN01173,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 00:08:00,2019-09-02 00:49:00,SR71 N SO RAMONA AVE,Unknown,33.978572,-117.702243,SR 71,41 minutes,11.0,,,POINT (212314.6068909158 -445970.8616657644),41
7875,126,CALTRANS_190901INFSP00153,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 00:41:00,2019-09-02 01:06:00,SR91 E EO TYLER ST,Unknown,33.908243,-117.45331200000001,SR 91,25 minutes,1.0,,,POINT (235520.2797178901 -453180.9679132765),25
3492,281,CALTRANS_190901IN01244,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-02 00:44:00,2019-09-02 01:46:00,,Unknown,34.065431,-117.296465,I-215,1 hour 2 minutes,13.0,,,POINT (249524.7148634087 -435351.0181142697),62
7821,45,CALTRANS_190901IC00385,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 01:14:00,2019-09-02 01:36:00,"I10 E SR79 Beaumont Av,Exit 94 MM 7",Unknown,33.926984999999995,-116.977126,I-10,22 minutes,1.0,,,POINT (279478.4277055982 -449809.82159414),22
3494,288,CALTRANS_190901IN01305,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 01:28:00,2019-09-02 01:54:00,WB 210 JEO PEPPER,Unknown,34.134491,-117.35318400000001,,26 minutes,3.0,,,POINT (244077.3165017953 -427840.577135731),26
7853,98,CALTRANS_190901IN01329,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-02 01:41:00,2019-09-02 02:17:00,SR91 E WO GREEN RIVER RD,Unknown,33.872064,-117.665251,SR 91,36 minutes,2.0,,,POINT (216022.8922175887 -457696.9062257442),36
3495,290,CALTRANS_190901IN01341,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 01:41:00,2019-09-02 02:02:00,I210 E WO RIVERSIDE AVE,Unknown,34.135687,-117.37633400000001,I-210,21 minutes,1.0,,,POINT (241939.4050193334 -427767.2825560905),21
7856,105,CALTRANS_190901IN01406,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-02 02:42:00,2019-09-02 03:32:00,OCCD EB 91 AT LINCOLN,Unknown,33.820763,-117.526705,OCCD 91,50 minutes,1.0,,,POINT (228987.4536909098 -463059.3689916926),50
7855,104,CALTRANS_190901IN01403,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-02 02:44:00,2019-09-02 03:07:00,,Unknown,33.861228000000004,-117.53736,I-15,23 minutes,2.0,,,POINT (227884.640386713 -458598.89400412),23
7858,107,CALTRANS_190901IN01432,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 03:07:00,2019-09-02 03:32:00,SR91 E EO MISSION INN AVE,Unknown,33.982477,-117.367227,SR 91,25 minutes,3.0,,,POINT (243250.8789329728 -444732.9695359315),25
7822,54,CALTRANS_190901IC00454,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 03:17:00,2019-09-02 04:46:00,I10 E EO Cherry Valley Blvd MM 3.3,Unknown,33.966677000000004,-117.032321,I-10,1 hour 29 minutes,4.0,,,POINT (274239.2987951686 -445570.7280809456),89
7860,109,CALTRANS_190901IN01462,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 03:18:00,2019-09-02 03:39:00,I15 S NO 2ND ST,Unknown,33.915754,-117.557528,I-15,21 minutes,1.0,,,POINT (225862.9975948893 -452601.7825101349),21
3499,298,CALTRANS_190901IN01478,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-02 03:24:00,2019-09-02 04:47:00,HIGHLAND JWO STATE,Unknown,34.136168,-117.335443,HIGHLAND JWO STATE,1 hour 23 minutes,3.0,,,POINT (245707.653376419 -427608.7804287663),83
3498,297,CALTRANS_190901IN01475,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 03:28:00,2019-09-02 03:51:00,I10 E WO MONTE VISTA AVE,Unknown,34.081720000000004,-117.70718400000001,I-10,23 minutes,2.0,,,POINT (211581.4660665039 -434543.4583972842),23
3500,299,CALTRANS_190901IN01485,CADOT,Collision,1182-Trfc Collision-No Inj,2019-09-02 03:30:00,2019-09-02 03:56:00,OCCR'D I10 E WO MONTE VISTA AVE,Unknown,34.081328000000006,-117.697274,I-10,26 minutes,2.0,,,POINT (212496.8392530677 -434564.7673918437),26
7880,136,CALTRANS_190901IN01556,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 04:10:00,2019-09-02 04:32:00,JNO,Unknown,33.866877,-117.261393,JNO,22 minutes,1.0,,,POINT (253396.8833391562 -457272.1710473481),22
3368,14,CALTRANS_190901IN01596,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 04:39:00,2019-09-02 05:38:00,I215 S NO WASHINGTON ST,Unknown,34.049306,-117.305245,I-215,59 minutes,3.0,,,POINT (248765.4116541463 -437162.1024816888),59
3369,15,CALTRANS_190901IN01613,CADOT,Collision,1182-Trfc Collision-No Inj,2019-09-02 04:48:00,2019-09-02 05:36:00,I15 N SO GLEN HELEN PKWY,Unknown,34.194843,-117.41975500000001,I-15,48 minutes,2.0,,,POINT (237757.7772988523 -421316.6981404577),48
3370,16,CALTRANS_190901IN01619,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-02 04:50:00,2019-09-02 05:27:00,,Unknown,34.144653999999996,-117.27859299999999,N Waterman Ave,37 minutes,,,,POINT (250921.5365717631 -426518.831908667),37
3374,21,CALTRANS_190901IN01708,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 05:49:00,2019-09-02 06:13:00,I215 N NO HIGHLAND AVE,Unknown,34.138343,-117.31533400000001,I-215,24 minutes,2.0,,,POINT (247554.6455928724 -427315.2733788323),24
3375,22,CALTRANS_190901IN01754,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-02 06:27:00,2019-09-02 06:54:00,CEDAR AT 10 - ARCO GAS STN,Unknown,34.067838,-117.403173,CEDAR,27 minutes,2.0,,,POINT (239671.2240705144 -435359.4102550852),27
7896,226,CALTRANS_190902IN00053,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-02 08:04:00,2019-09-02 09:38:00,I215 S SO VAN BUREN BLVD VB,Unknown,33.875479,-117.26541599999999,I-215,1 hour 34 minutes,15.0,,,POINT (252997.2348057028 -456329.2963331873),94
3376,67,CALTRANS_190902IN00067,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-02 08:21:00,2019-09-02 09:17:00,I210 E WO ALDER AVE,Unknown,34.13627,-117.42570900000001,I-210,56 minutes,5.0,,,POINT (237385.699975101 -427827.4425311023),56
3377,68,CALTRANS_190902IN00068,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-02 08:24:00,2019-09-02 11:24:00,SR60 W ARCHIBALD AVE OFR,Unknown,34.030705,-117.58703200000001,SR 60,3 hours,18.0,,,POINT (222810.7922341815 -439925.5172621808),180
3431,149,CALTRANS_190902OC00049,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-02 08:29:00,2019-09-02 10:26:00,ROOM 4112 - OCCD EB 10 JWO 15,Unknown,34.07085,-117.552342,ROOM 4112 - OCCD 10 JWO 15,1 hour 57 minutes,3.0,,,POINT (225898.3661820845 -435391.6616268498),117
3379,70,CALTRANS_190902IN00090,CADOT,Fire,FIRE-Report of Fire,2019-09-02 08:50:00,2019-09-02 09:13:00,,Unknown,34.063203,-117.383348,Cactus Ave,23 minutes,1.0,,,POINT (241514.6760136873 -435823.068894098),23
3380,71,CALTRANS_190902IN00097,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-02 08:58:00,2019-09-02 10:11:00,I10 W EO ETIWANDA AVE,Unknown,34.066513,-117.509984,I-10,1 hour 13 minutes,4.0,,,POINT (229819.3983010204 -435770.8037910783),73
3381,72,CALTRANS_190902IN00104,CADOT,Vehicle On Fire,CFIRE-Car Fire,2019-09-02 09:10:00,2019-09-02 09:46:00,I10 W WO FORD ST,Unknown,34.046617,-117.15746000000001,I-10,36 minutes,4.0,,,POINT (262413.0948141607 -437061.8556862934),36
7899,229,CALTRANS_190902IN00122,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-02 09:30:00,2019-09-02 13:28:00,,Unknown,33.993584999999996,-117.35724599999999,CA 91,3 hours 58 minutes,38.0,,,POINT (244138.4790021837 -443475.681841787),238
7901,231,CALTRANS_190902IN00126,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-02 09:35:00,2019-09-02 11:18:00,NB 15 TRANS TO WB 60,Unknown,34.022433,-117.54893600000001,15 TRANS,1 hour 43 minutes,9.0,,,POINT (226351.4762902902 -440752.5510459146),103
7902,232,CALTRANS_190902IN00138,CADOT,Obstructions,23114-Object Flying From Veh,2019-09-02 09:51:00,2019-09-02 11:11:00,I15 N SO 2ND ST,Unknown,33.904089,-117.55978400000001,I-15,1 hour 20 minutes,6.0,,,POINT (225687.7204079678 -453900.5050127818),80
7903,233,CALTRANS_190902IN00151,CADOT,Collision,1183-Trfc Collision-Unkn Inj,2019-09-02 10:18:00,2019-09-02 11:20:00,SR60 E WO RUBIDOUX BLVD,Unknown,34.00417,-117.407968,SR 60,1 hour 2 minutes,3.0,,,POINT (239421.8471795564 -442431.3681603093),62
3382,75,CALTRANS_190902IN00170,CADOT,Collision,20002-Hit and Run No Injuries,2019-09-02 10:58:00,2019-09-02 11:49:00,,Unknown,34.136540999999994,-117.52698899999999,CA 210,51 minutes,2.0,,,POINT (228047.6424021313 -428045.9902819865),51
7905,235,CALTRANS_190902IN00191,CADOT,Incident,SIG Alert,2019-09-02 12:19:00,2019-09-02 13:04:00,SR91 W AT I215,Unknown,33.993584999999996,-117.35724599999999,SR 91,45 minutes,4.0,,,POINT (244138.4790021837 -443475.681841787),45
7885,176,CALTRANS_190902IC00077,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-02 12:19:00,2019-09-02 12:57:00,FROM EB 10,Unknown,33.968626,-117.028199,,38 minutes,5.0,,,POINT (274613.3075872349 -445342.7229196108),38
7906,236,CALTRANS_190902IN00192,CADOT,Collision,1179-Trfc Collision-1141 Enrt,2019-09-02 12:28:00,2019-09-02 13:09:00,,Unknown,34.012932,-117.34407399999999,I-215,41 minutes,19.0,,,POINT (245294.8852151433 -441296.4973885291),41
3383,76,CALTRANS_190902IN00210,CADOT,Animal Struck,1125A-Animal Hazard,2019-09-02 13:16:00,2019-09-02 13:45:00,I10 E WO I210,Unknown,34.066505,-117.20703300000001,I-10,29 minutes,8.0,,,POINT (257773.0470072903 -434992.6642268449),29
7908,238,CALTRANS_190902IN00214,CADOT,Collision,1182-Trfc Collision-No Inj,2019-09-02 13:23:00,2019-09-02 14:14:00,SR60 E WO PEDLEY RD,Unknown,34.01931,-117.488859,SR 60,51 minutes,4.0,,,POINT (231907.3746559497 -440953.6593827428),51
3386,79,CALTRANS_190902IN00248,CADOT,Collision,1144-Fatality,2019-09-02 14:34:00,2019-09-02 19:47:00,,Unknown,34.065191999999996,-117.316273,I-10,5 hours 13 minutes,23.0,,,POINT (247697.7617058177 -435429.4612086369),313
3387,82,CALTRANS_190902IN00262,CADOT,Incident,SIG Alert,2019-09-02 14:43:00,2019-09-02 15:18:00,I10 W WO MOUNT VERNON AVE,Unknown,34.065191999999996,-117.316273,I-10,35 minutes,4.0,,,POINT (247697.7617058177 -435429.4612086369),35
3388,84,CALTRANS_190902IN00280,CADOT,Obstructions,1125-Traffic Hazard,2019-09-02 15:20:00,2019-09-02 15:48:00,I15 S SO I215,Unknown,34.219413,-117.410751,I-15,28 minutes,5.0,,,POINT (238512.8109138634 -418569.1219531922),28
7886,180,CALTRANS_190902IC00116,CADOT,Vehicle On Fire,CFIRE-Car Fire,2019-09-02 15:31:00,2019-09-02 18:11:00,I10 W Pennsylvania Av UC Exit 95 MM 8,Unknown,33.927336,-116.96965300000001,I-10,2 hours 40 minutes,13.0,,,POINT (280167.8613608068 -449748.8546175095),160
