ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4
801256,10,W,8,71,81344,4.636,51.401,34.082791,-117.632057,.943,ML,4,GROVE AVE,1,,,
801259,10,W,8,71,53896,5.211,51.976,34.078035,-117.62377,.703,ML,4,4TH ST,1,,,
801260,10,W,8,71,53896,5.211,51.976,34.078035,-117.62377,,OR,2,4TH ST,1,,,
801261,10,E,8,71,53896,5.292,52.057,34.077163,-117.622804,.811,ML,4,4TH ST,1,,,
801262,10,E,8,71,53896,5.292,52.057,34.077163,-117.622804,,OR,2,4TH ST,1,,,
801265,10,W,8,71,53896,6.044,52.809,34.071145,-117.611844,.455,ML,4,VINEYARD AVE,1,,,
801266,10,W,8,71,53896,6.044,52.809,34.071145,-117.611844,,OR,1,VINEYARD AVE,1,,,
801267,10,W,8,71,53896,6.122,52.887,34.070549,-117.61069,.106,ML,4,VINEYARD AVE LOOP,1,,,
801268,10,W,8,71,53896,6.126,52.891,34.070519,-117.610631,,OR,1,VINEYARD AVE LOOP,1,,,
801269,10,E,8,71,53896,6.257,53.022,34.069468,-117.608734,.843,ML,4,VINEYARD AVE,1,,,
801270,10,E,8,71,53896,6.257,53.022,34.069468,-117.608734,,OR,2,VINEYARD AVE,1,,,
801271,10,W,8,71,53896,6.8,53.565,34.068056,-117.599428,,OR,2,ARCHIBALD AVE,1,,,
801273,10,E,8,71,53896,6.98,53.745,34.067505,-117.596444,,OR,2,HOLT BLVD,1,,,
801274,10,W,8,71,53896,6.978,53.743,34.067824,-117.5964,,FR,2,HOLT BLVD,1,,,
801275,10,E,8,71,53896,7.292,54.057,34.067476,-117.591,,OR,3,ARCHIBALD AVE,1,,,
801276,10,W,8,71,53896,7.292,54.057,34.067723,-117.590995,,FR,1,ARCHIBALD AVE,1,,,
801277,10,W,8,71,53896,7.788,54.553,34.067702,-117.582357,.393,ML,5,ARCHIBALD AVE,1,,,
801279,10,W,8,71,53896,8.078,54.843,34.067681,-117.577307,.22,ML,4,HAVEN AVE,1,,,
801281,10,W,8,71,53896,8.078,54.843,34.067681,-117.577307,,OR,2,HAVEN AVE,1,,,
801282,10,W,8,71,53896,8.228,54.993,34.067676,-117.574695,.233,ML,4,HAVEN AVE LOOP,1,,,
801283,10,W,8,71,53896,8.228,54.993,34.067676,-117.574695,,OR,2,HAVEN AVE LOOP,1,,,
801284,10,E,8,71,53896,8.22,54.985,34.067456,-117.574833,.218,ML,4,HAVEN AVE,1,,,
801285,10,E,8,71,53896,8.22,54.985,34.067456,-117.574833,,OR,2,HAVEN AVE,1,,,
801286,10,E,8,71,53896,8.108,54.873,34.06745,-117.576784,.216,ML,4,HAVEN AVE LOOP,1,,,
801287,10,E,8,71,53896,8.108,54.873,34.06745,-117.576784,,OR,2,HAVEN AVE LOOP,1,,,
801288,10,W,8,71,53896,8.543,55.308,34.067651,-117.56921,.379,ML,5,HAVEN AVE,1,,,
801289,10,E,8,71,53896,8.543,55.308,34.067404,-117.569207,.451,ML,5,HAVEN AVE,1,,,
801290,15,N,8,65,16350,38.926,93.419,33.847078,-117.534347,.34,ML,4,ONTARIO,1,,,
801291,15,S,8,65,,38.926,93.409,33.847078,-117.534741,.34,ML,5,ONTARIO,1,,,
801292,15,N,8,65,16350,38.926,93.419,33.847078,-117.534347,,OR,2,ONTARIO,1,,,
801301,15,N,8,65,16350,40.38,94.873,33.866255,-117.542279,.38,ML,4,MAGNOLIA N/B ON,1,,,
801302,15,S,8,65,16350,40.38,94.863,33.866052,-117.54266,.648,ML,4,MAGNOLIA N/B ON,1,,,
801303,15,N,8,65,16350,40.38,94.873,33.866255,-117.542279,,OR,2,MAGNOLIA N/B ON,1,,,
801320,15,S,8,65,16350,42.734,97.217,33.896559,-117.55927,.368,ML,4,HIDDEN VALLEY,1,,,
801321,15,S,8,65,16350,42.734,97.217,33.896559,-117.55927,,OR,2,HIDDEN VALLEY,1,,,
801322,15,N,8,65,16350,43.023,97.516,33.900788,-117.559985,.371,ML,4,HIDDEN VALLEY,1,,,
801323,15,N,8,65,16350,43.023,97.516,33.900788,-117.559985,,OR,2,HIDDEN VALLEY,1,,,
801324,15,S,8,65,51560,43.477,97.96,33.907319,-117.559432,.335,ML,4,SECOND ST S/B ON,1,,,
801325,15,N,8,65,51560,43.477,97.97,33.907303,-117.559044,.335,ML,4,SECOND ST S/B ON,1,,,
801326,15,S,8,65,51560,43.477,97.96,33.907319,-117.559432,,OR,2,SECOND ST S/B ON,1,,,
801327,15,N,8,65,51560,43.692,98.185,33.910359,-117.558301,.244,ML,3,SECOND ST,1,,,
801328,15,S,8,65,51560,43.692,98.175,33.910412,-117.558687,.244,ML,3,SECOND ST,1,,,
801329,15,N,8,65,51560,43.967,98.46,33.914275,-117.55745,.25,ML,4,0.3 N/O 2ND,1,,,
801330,15,S,8,65,51560,43.967,98.45,33.914317,-117.557832,.251,ML,4,0.3 N/O 2ND,1,,,
801331,15,N,8,65,51560,44.194,98.687,33.917527,-117.556895,.363,ML,3,.08 N/O 3RD ST,1,,,
801332,15,S,8,65,51560,44.194,98.677,33.917555,-117.557262,.363,ML,3,400 FT N/O 3RD ST,1,,,
801335,15,N,8,65,51560,44.694,99.187,33.924745,-117.556298,.741,ML,3,.02 N/O 4TH ST,1,,,
801337,60,W,8,71,13210,1.169,31.766,34.030239,-117.710395,.193,ML,4,RAMONA,1,,,
801338,60,E,8,71,13210,1.192,31.789,34.030011,-117.70991,.203,ML,4,RAMONA,1,,,
801339,60,W,8,71,13210,1.182,31.779,34.030255,-117.710169,,OR,1,RAMONA,1,,,
801340,60,E,8,71,13210,1.485,32.082,34.030056,-117.704815,.497,ML,4,RAMONA,1,,,
801341,60,W,8,71,13210,1.467,32.064,34.030319,-117.705193,.498,ML,4,RAMONA,1,,,
801342,60,E,8,71,13210,1.485,32.082,34.030056,-117.704815,,OR,1,RAMONA,1,,,
801343,60,W,8,71,13210,2.165,32.762,34.030386,-117.693001,.532,ML,4,CENTRAL,1,,,
801344,60,E,8,71,13210,2.186,32.783,34.03012,-117.692625,.528,ML,4,CENTRAL,1,,,
801345,60,W,8,71,13210,2.174,32.771,34.030387,-117.692844,,OR,1,CENTRAL,1,,,
801346,60,E,8,71,13210,2.542,33.139,34.030152,-117.68643,.302,ML,4,CENTRAL,1,,,
801347,60,W,8,71,13210,2.531,33.128,34.030408,-117.686616,.313,ML,4,CENTRAL,1,,,
801348,60,E,8,71,13210,2.542,33.139,34.030152,-117.68643,,OR,1,CENTRAL,1,,,
801349,60,W,8,71,13210,3.422,34.019,34.030502,-117.671087,.491,ML,4,MOUNTAIN WB ON,1,,,
801350,60,E,8,71,13210,3.431,34.028,34.030244,-117.670938,.499,ML,4,MOUNTAIN,1,,,
801351,60,W,8,71,13210,3.448,34.045,34.030504,-117.670634,,OR,1,MOUNTAIN WB ON,1,,,
801352,60,E,8,71,13210,3.789,34.386,34.030268,-117.664687,.28,ML,4,MOUNTAIN,1,,,
801353,60,W,8,71,13210,3.773,34.37,34.03052,-117.66496,.283,ML,4,MOUNTAIN,1,,,
801354,60,E,8,71,13210,3.789,34.386,34.030268,-117.664687,,OR,1,MOUNTAIN,1,,,
801355,60,W,8,71,13210,4.387,34.984,34.03055,-117.654217,.394,ML,4,EUCLID,1,,,
801356,60,E,8,71,53896,4.398,34.995,34.030314,-117.654027,.394,ML,4,EUCLID,1,,,
801357,60,W,8,71,53896,4.398,34.995,34.03055,-117.654025,,OR,1,EUCLID,1,,,
801358,60,E,8,71,53896,4.779,35.376,34.03033,-117.647377,.446,ML,4,EUCLID,1,,,
801359,60,W,8,71,53896,4.779,35.376,34.030577,-117.647377,.452,ML,4,EUCLID,1,,,
801360,60,E,8,71,53896,4.779,35.376,34.03033,-117.647377,,OR,1,EUCLID,1,,,
801361,60,W,8,71,53896,5.713,36.31,34.030623,-117.631124,.374,ML,4,GROVE,1,,,
801362,60,E,8,71,53896,5.721,36.318,34.030383,-117.630981,.374,ML,4,GROVE,1,,,
801363,60,W,8,71,53896,5.699,36.296,34.030622,-117.631368,,OR,2,GROVE,1,,,
801364,60,E,8,71,53896,6.039,36.636,34.030392,-117.625446,.492,ML,4,GROVE,1,,,
801365,60,W,8,71,53896,6.039,36.636,34.030646,-117.625451,.496,ML,4,GROVE,1,,,
801366,60,E,8,71,53896,6.039,36.636,34.030392,-117.625446,,OR,2,GROVE,1,,,
801367,60,W,8,71,53896,6.704,37.301,34.03068,-117.61388,.501,ML,4,VINEYARD,1,,,
801368,60,E,8,71,53896,6.704,37.301,34.03045,-117.613871,.507,ML,4,VINEYARD,1,,,
801369,60,W,8,71,53896,6.694,37.291,34.030679,-117.614054,,OR,1,VINEYARD,1,,,
801370,60,E,8,71,53896,7.054,37.651,34.03045,-117.607779,.514,ML,4,VINEYARD,1,,,
801371,60,W,8,71,53896,7.042,37.639,34.030672,-117.607997,.514,ML,4,VINEYARD,1,,,
801372,60,E,8,71,53896,7.054,37.651,34.03045,-117.607779,,OR,1,VINEYARD,1,,,
801373,60,W,8,71,53896,7.733,38.33,34.0307,-117.595966,.5,ML,4,ARCHIBALD,1,,,
801374,60,E,8,71,53896,7.733,38.33,34.030496,-117.595962,.494,ML,4,ARCHIBALD,1,,,
801375,60,W,8,71,53896,7.707,38.304,34.0307,-117.596418,,OR,2,ARCHIBALD,1,,,
801376,60,E,8,71,53896,8.043,38.64,34.030487,-117.590566,.299,ML,4,ARCHIBALD,1,,,
801377,60,W,8,71,53896,8.043,38.64,34.030718,-117.59057,.299,ML,4,ARCHIBALD,1,,,
801378,60,E,8,71,53896,8.061,38.658,34.030485,-117.590253,,OR,2,ARCHIBALD,1,,,
801379,60,W,8,71,53896,8.704,39.301,34.029996,-117.57913,.358,ML,4,HAVEN,1,,,
801380,60,E,8,71,53896,8.72,39.317,34.029685,-117.578854,.341,ML,4,HAVEN,1,,,
801381,60,W,8,71,53896,8.712,39.309,34.029962,-117.578997,,OR,2,HAVEN,1,,,
801383,60,W,8,71,53896,9.046,39.643,34.028461,-117.573456,.542,ML,4,HAVEN,1,,,
801385,60,E,8,71,53896,9.057,39.654,34.028146,-117.573279,,OR,1,HAVEN,1,,,
801387,60,W,8,71,53896,9.789,40.386,34.024988,-117.561183,.585,ML,4,MILLIKEN,1,,,
801389,60,W,8,71,53896,9.789,40.386,34.024988,-117.561183,,OR,1,MILLIKEN,1,,,
801390,60,E,8,65,,.262,40.817,34.022726,-117.554084,1.636,ML,4,MILLIKEN,1,,,
801391,60,W,8,65,,.262,40.817,34.022943,-117.554045,1.636,ML,4,MILLIKEN,1,,,
801392,60,E,8,65,,.072,40.627,34.023596,-117.55725,,OR,1,MILLIKEN,1,,,
801393,60,W,8,65,62000,13.392,53.513,33.942498,-117.277554,,OR,1,DAY,1,,,
801394,60,E,8,65,62000,13.447,53.568,33.942128,-117.276661,1.096,ML,3,DAY ST E/B ON,1,,,
801396,60,E,8,65,62000,13.447,53.568,33.942128,-117.276661,,OR,2,DAY ST E/B ON,1,,,
801397,60,W,8,65,62000,14.168,54.289,33.940876,-117.264242,.51,ML,2,PIGEON PASS,1,,,
801398,60,E,8,65,62000,14.168,54.289,33.940689,-117.264258,.531,ML,2,PIGEON PASS,1,,,
801399,60,W,8,65,62000,14.168,54.289,33.940876,-117.264242,,OR,2,PIGEON PASS,1,,,
801400,60,W,8,65,49270,14.412,54.533,33.940948,-117.259999,.499,ML,2,PIGEON PASS  LOOP,1,,,
801401,60,W,8,65,49270,14.412,54.533,33.940948,-117.259999,,OR,1,PIGEON PASS  LOOP,1,,,
801402,60,E,8,65,49270,14.509,54.63,33.940779,-117.258321,.663,ML,2,PIGEON PASS,1,,,
801403,60,E,8,65,49270,14.509,54.63,33.940779,-117.258321,,OR,2,PIGEON PASS,1,,,
801404,60,W,8,65,49270,15.166,55.287,33.941149,-117.246877,.541,ML,2,HEACOCK,1,,,
801406,60,W,8,65,49270,15.166,55.287,33.941149,-117.246877,,OR,2,HEACOCK,1,,,
801407,60,E,8,65,49270,15.495,55.616,33.941022,-117.241174,.843,ML,2,HEACOCK,1,,,
801408,60,W,8,65,49270,15.495,55.616,33.941223,-117.241153,.514,ML,2,HEACOCK,1,,,
801409,60,E,8,65,49270,15.495,55.616,33.941022,-117.241174,,OR,1,HEACOCK,1,,,
801410,60,W,8,65,49270,16.195,56.316,33.94038,-117.229089,.554,ML,2,PERRIS,1,,,
801411,60,E,8,65,49270,16.195,56.316,33.940195,-117.229112,.554,ML,2,PERRIS,1,,,
801412,60,W,8,65,49270,16.195,56.316,33.94038,-117.229089,,OR,2,PERRIS,1,,,
801418,91,W,8,65,,.995,38.313,33.878243,-117.658393,.848,ML,5,GREEN RIVER,1,,,
801421,91,W,8,65,,.995,38.313,33.878243,-117.658393,,OR,3,GREEN RIVER,1,,,
801422,91,E,8,65,,1.065,38.297,33.878697,-117.657264,.284,ML,5,GREEN RIVER,1,,,
801425,91,E,8,65,,1.065,38.297,33.878697,-117.657264,,OR,2,GREEN RIVER,1,,,
801428,91,E,8,65,,1.563,38.795,33.881268,-117.649232,.455,ML,6,ROUTE 71,1,,,
801429,91,E,8,65,,1.563,38.795,33.881268,-117.649232,.455,HV,2,ROUTE 71,1,,,
801431,91,W,8,65,,1.975,39.293,33.883174,-117.642459,.489,ML,5,ROUTE 71,1,,,
801434,91,W,8,65,,1.975,39.293,33.883174,-117.642459,,OR,2,ROUTE 71,1,,,
801435,91,E,8,65,,2.542,39.774,33.884659,-117.632803,.539,ML,5,ROUTE 91 from RTE 71,1,,,
801437,91,E,8,65,,2.542,39.774,33.884659,-117.632803,,OR,3,ROUTE 91 from RTE 71,1,,,
801442,91,E,8,65,,3.054,40.286,33.882487,-117.624363,.573,ML,6,SERFAS CLUB RD,1,,,
801443,91,E,8,65,,3.054,40.286,33.882487,-117.624363,.573,HV,2,SERFAS CLUB RD,1,,,
801445,91,W,8,65,,3.688,41.006,33.880896,-117.613574,.638,ML,6,SERFAS CLUB,1,,,
801448,91,W,8,65,,3.688,41.006,33.880896,-117.613574,,OR,3,SERFAS CLUB,1,,,
801449,91,E,8,65,,3.729,40.961,33.880625,-117.61289,.387,ML,5,SERFAS CLUB,1,,,
801452,91,E,8,65,,3.815,41.047,33.880436,-117.611405,,OR,2,SERFAS CLUB,1,,,
801455,91,W,8,65,16350,4.218,41.648,33.880421,-117.602524,.387,ML,5,MAPLE,1,,,
801456,91,W,8,65,16350,4.21,41.64,33.880399,-117.60266,,OR,2,MAPLE,1,,,
801464,91,E,8,65,16350,4.731,42.075,33.881661,-117.593724,.465,ML,6,100 FT E/O SMITH,1,,,
801465,91,E,8,65,16350,4.731,42.075,33.881661,-117.593724,.424,HV,2,100 FT E/O SMITH,1,,,
801469,91,W,8,65,16350,5.28,42.71,33.882116,-117.584327,.386,ML,5,LINCOLN,1,,,
801471,91,E,8,65,16350,5.28,42.624,33.881934,-117.584254,.386,ML,6,LINCOLN,1,,,
801472,91,W,8,65,16350,5.294,42.724,33.882091,-117.584085,,OR,3,LINCOLN,1,,,
801473,91,E,8,65,16350,5.504,42.848,33.881537,-117.580389,.495,ML,6,LINCOLN,1,,,
801475,91,W,8,65,16350,5.504,42.934,33.88171,-117.580467,.478,ML,6,LINCOLN,1,,,
801476,91,E,8,65,16350,5.498,42.842,33.881549,-117.580492,,OR,3,LINCOLN,1,,,
801481,91,W,8,65,16350,6.237,43.667,33.88036,-117.567844,.476,ML,6,MAIN,1,,,
801484,91,W,8,65,16350,6.241,43.671,33.880353,-117.567775,,OR,3,MAIN,1,,,
801485,91,E,8,65,16350,6.492,43.836,33.879688,-117.563356,.174,ML,4,MAIN,1,,,
801487,91,E,8,65,16350,6.457,43.801,33.879761,-117.563959,,OR,2,MAIN,1,,,
801488,91,E,8,65,16350,6.751,44.095,33.879193,-117.558894,.703,ML,4,.09 E/O EAST GRAND,1,,,
801489,91,E,8,65,16350,6.751,44.095,33.879193,-117.558894,.703,HV,1,500 FTE/O EAST GRAND,1,,,
801490,91,W,8,65,16350,9.09,46.52,33.885703,-117.519441,.604,ML,3,MCKINLEY,1,,,
801491,91,W,8,65,16350,9.09,46.52,33.885703,-117.519441,.604,HV,1,MCKINLEY,1,,,
801492,91,W,8,65,16350,9.09,46.52,33.885703,-117.519441,,OR,3,MCKINLEY,1,,,
801493,91,E,8,65,16350,9.23,46.574,33.886508,-117.517184,.093,ML,4,MCKINLEY,1,,,
801495,91,E,8,65,16350,9.324,46.668,33.887191,-117.515766,,OR,1,MCKINLEY,1,,,
801496,91,W,8,65,62000,10.724,48.154,33.897117,-117.494526,.857,ML,3,PIERCE,1,,,
801497,91,W,8,65,62000,10.724,48.154,33.897117,-117.494526,.857,HV,1,PIERCE,1,,,
801498,91,W,8,65,62000,10.638,48.068,33.89671,-117.495937,,OR,2,PIERCE,1,,,
801499,91,W,8,65,62000,11.052,48.482,33.897372,-117.488881,.248,ML,3,MAGNOLIA,1,,,
801500,91,W,8,65,62000,11.052,48.482,33.897372,-117.488881,.248,HV,1,MAGNOLIA,1,,,
801501,91,W,8,65,62000,11.052,48.482,33.897372,-117.488881,,OR,1,MAGNOLIA,1,,,
801502,91,E,8,65,62000,11.219,48.563,33.896796,-117.485867,.601,ML,3,MAGNOLIA,1,,,
801503,91,E,8,65,62000,11.219,48.563,33.896796,-117.485867,.601,HV,1,MAGNOLIA,1,,,
801504,91,E,8,65,62000,11.219,48.563,33.896796,-117.485867,,OR,1,MAGNOLIA,1,,,
801505,91,W,8,65,62000,11.88,49.31,33.899363,-117.475206,.473,ML,3,LA SIERRA,1,,,
801507,91,W,8,65,62000,11.894,49.324,33.899464,-117.474994,,OR,3,LA SIERRA,1,,,
801508,91,E,8,65,62000,12.176,49.52,33.900809,-117.4703,,OR,3,LA SIERRA,1,,,
801509,91,E,8,65,62000,12.192,49.536,33.900862,-117.470028,.49,ML,3,LA SIERRA,1,,,
801511,91,W,8,65,62000,12.907,50.337,33.905268,-117.458919,.515,ML,3,TYLER,1,,,
801512,91,E,8,65,62000,12.907,50.251,33.905123,-117.458776,.501,ML,3,TYLER,1,,,
801513,91,W,8,65,62000,12.923,50.353,33.905397,-117.458688,,OR,2,TYLER,1,,,
801514,91,E,8,65,62000,13.179,50.523,33.907347,-117.45486,,OR,2,TYLER,1,,,
801515,91,E,8,65,62000,13.196,50.54,33.907487,-117.454615,.575,ML,3,TYLER,1,,,
801516,91,W,8,65,62000,13.196,50.626,33.907615,-117.454744,.534,ML,3,TYLER,1,,,
801517,91,W,8,65,62000,13.977,51.407,33.914026,-117.443515,.449,ML,3,VAN BUREN,1,,,
801519,91,W,8,65,62000,14.016,51.446,33.914346,-117.442954,,OR,3,VAN BUREN,1,,,
801520,91,E,8,65,62000,14.096,51.44,33.914872,-117.441676,.328,ML,3,VAN BUREN,1,,,
801521,91,W,8,65,62000,14.096,51.526,33.915001,-117.441803,.368,ML,3,VAN BUREN,1,,,
801522,91,E,8,65,62000,14.232,51.576,33.915986,-117.439721,,OR,2,VAN BUREN,1,,,
801523,91,E,8,65,62000,14.714,52.058,33.919915,-117.432776,.73,ML,4,.11 E/O JACKSON,1,,,
801527,91,W,8,65,62000,15.556,52.986,33.926926,-117.42083,.499,ML,3,ADAMS,1,,,
801528,91,E,8,65,62000,15.556,52.9,33.926795,-117.420663,.499,ML,3,ADAMS,1,,,
801529,91,W,8,65,62000,15.556,52.986,33.926926,-117.42083,,OR,2,91@ADAMS WB ON,1,,,
801530,91,E,8,65,62000,15.713,53.057,33.928077,-117.418405,.345,ML,3,ADAMS,1,,,
801531,91,W,8,65,62000,15.713,53.143,33.928205,-117.418571,.345,ML,3,ADAMS,1,,,
801532,91,E,8,65,62000,15.713,53.057,33.928077,-117.418405,,OR,2,ADAMS,1,,,
801533,91,E,8,65,62000,16.247,53.591,33.932457,-117.410737,.439,ML,3,.09 E/O JEFFERSON,1,,,
801534,91,W,8,65,62000,16.247,53.677,33.932582,-117.410911,.439,ML,4,500 FT E/O JEFFERSON,1,,,
801535,91,W,8,65,62000,16.59,54.02,33.935381,-117.405979,.251,ML,3,MADISON,1,,,
801536,91,E,8,65,62000,16.59,53.934,33.935254,-117.405802,.251,ML,3,MADISON,1,,,
801537,91,W,8,65,62000,16.581,54.011,33.935308,-117.406109,,OR,2,MADISON,1,,,
801538,91,E,8,65,62000,16.751,54.095,33.936564,-117.403479,.343,ML,3,MADISON,1,,,
801539,91,W,8,65,62000,16.751,54.181,33.936681,-117.403654,.567,ML,3,MADISON,1,,,
801540,91,E,8,65,62000,16.756,54.1,33.936604,-117.403407,,OR,3,MADISON,1,,,
801541,91,E,8,65,62000,17.278,54.622,33.941008,-117.396017,.486,ML,3,3000 W/O ARLINGTON,1,,,
801543,91,W,8,65,62000,17.724,55.154,33.945336,-117.390312,.499,ML,3,ARLINGTON WB ON,1,,,
801544,91,E,8,65,62000,17.724,55.068,33.945227,-117.390128,.236,ML,3,ARLINGTON,1,,,
801545,91,W,8,65,62000,17.712,55.142,33.945222,-117.39047,,OR,3,ARLINGTON,1,,,
801546,91,E,8,65,62000,17.943,55.287,33.947366,-117.387307,.298,ML,3,ARLINGTON,1,,,
801547,91,W,8,65,62000,17.943,55.373,33.947484,-117.387512,.298,ML,3,ARLINGTON,1,,,
801548,91,E,8,65,62000,17.94,55.284,33.947336,-117.387345,,OR,1,ARLINGTON,1,,,
801549,91,W,8,65,62000,18.347,55.777,33.952735,-117.384542,.298,ML,3,CENTRAL,1,,,
801550,91,E,8,65,62000,18.347,55.691,33.952658,-117.384416,.29,ML,3,CENTRAL,1,,,
801551,91,W,8,65,62000,18.342,55.772,33.95267,-117.38458,,OR,3,CENTRAL WB ON,1,,,
801552,91,E,8,65,62000,18.522,55.866,33.954619,-117.382511,.323,ML,3,CENTRAL EB ON,1,,,
801553,91,W,8,65,62000,18.539,55.969,33.954893,-117.38247,.324,ML,3,CENTRAL,1,,,
801554,91,E,8,65,62000,18.536,55.88,33.95476,-117.382336,,OR,3,CENTRAL,1,,,
801555,91,E,8,65,62000,18.995,56.339,33.960023,-117.377762,.679,ML,3,100 E/O IVY,1,,,
801556,91,W,8,65,62000,18.995,56.425,33.96011,-117.377945,.68,ML,3,100 FT E/O IVY,1,,,
801559,91,W,8,65,62000,19.899,57.329,33.972548,-117.374122,.545,ML,3,14TH WB ON,1,,,
801560,91,E,8,65,62000,19.882,57.226,33.97226,-117.374105,.54,ML,3,14TH,1,,,
801561,91,W,8,65,62000,19.882,57.312,33.97233,-117.37426,,OR,3,14TH,1,,,
801562,91,E,8,65,62000,20.076,57.42,33.974743,-117.372535,.172,ML,3,14TH EB ON,1,,,
801563,91,W,8,65,62000,20.084,57.514,33.974928,-117.372654,.163,ML,3,14TH,1,,,
801564,91,E,8,65,62000,20.076,57.42,33.974743,-117.372535,,OR,2,14TH EB ON,1,,,
801565,91,W,8,65,62000,20.225,57.655,33.976852,-117.371863,.387,ML,3,TENTH ST,1,,,
801566,91,E,8,65,62000,20.225,57.569,33.976765,-117.371681,.263,ML,3,TENTH ST,1,,,
801567,91,W,8,65,62000,20.225,57.655,33.976852,-117.371863,,OR,2,TENTH ST,1,,,
801577,215,N,8,65,,38.627,30.601,33.948414,-117.301477,.666,ML,4,BOX SPRINGS,1,,,
801579,215,N,8,65,,38.627,30.601,33.948414,-117.301477,,OR,2,BOX SPRINGS,1,,,
801580,215,N,8,65,,39.643,31.617,33.960303,-117.311575,.477,ML,3,CENTRAL /WATKINS,1,,,
801582,215,N,8,65,,39.665,31.639,33.960419,-117.311928,,OR,2,CENTRAL /WATKINS,1,,,
801586,215,N,8,65,62000,41.575,33.549,33.976598,-117.336172,.658,ML,4,UNIVERSITY,1,,,
801588,215,N,8,65,62000,41.581,33.555,33.976663,-117.33624,,OR,2,UNIVERSITY,1,,,
801589,215,N,8,65,62000,42.245,34.219,33.983955,-117.343692,1.198,ML,4,BLAINE,1,,,
801591,215,N,8,65,62000,42.245,34.219,33.983955,-117.343692,,OR,2,BLAINE,1,,,
801595,215,N,8,65,62000,43.97,35.944,34.002169,-117.351318,1.331,ML,3,COLUMBIA WB ON,1,,,
801596,215,S,8,65,62000,43.97,35.944,34.002216,-117.351466,.476,ML,3,COLUMBIA,1,,,
801597,215,N,8,65,62000,43.97,35.944,34.002169,-117.351318,,OR,2,COLUMBIA NB ON,1,,,
805627,15,S,8,71,53896,.969,107.733,34.047527,-117.550244,1.047,ML,4,JURUPA,1,,,
805628,15,N,8,71,53896,.969,107.743,34.047542,-117.549813,1.057,ML,4,JURUPA,1,,,
805629,15,S,8,71,53896,.969,107.733,34.047527,-117.550244,,OR,2,JURUPA,1,,,
805631,15,N,8,71,53896,1.197,107.971,34.050735,-117.548828,.516,ML,5,JURUPA,1,,,
805632,15,S,8,71,53896,1.197,107.961,34.050722,-117.549261,.515,ML,4,JURUPA,1,,,
805633,15,N,8,71,53896,1.229,108.003,34.051171,-117.54864,,OR,2,JURUPA,1,,,
805942,215,S,8,71,65000,4.855,42.162,34.07566,-117.295753,,OR,1,ORANGE SHOW SB ON,1,,,
